question-id,item,grammartical_item,construct,encoding
q883,can sense how things will turn out,i can sense how things will turn out,not assigned,
q884,can sense the presence of strange persons or forces,i can sense the presence of strange persons or forces,not assigned,
q885,can sense when danger or harm is coming,i can sense when danger or harm is coming,not assigned,
q886,can slow myself down when i want to,i can slow myself down when i want to,hypomanic mood intensity,-1.0
q887,can spend hours doing nothing,i can spend hours doing nothing,not assigned,
q888,can spot faulty reasoning,i can spot faulty reasoning,not assigned,
q889,can stand a great deal of stress,i can stand a great deal of stress,not assigned,
q890,can stand criticism,i can stand criticism,adaptability,1.0
q891,can stay focused on tasks even when i am happy and excited about an upcoming event,i can stay focused on tasks even when i am happy and excited about an upcoming event,not assigned,
q892,can stay on a diet,i can stay on a diet,self-control/self-regulation,1.0
q893,can switch gears easily,i can switch gears easily,not assigned,
q894,can tackle anything,i can tackle anything,self-efficacy,-1.0
q895,can take a joke,i can take a joke,not assigned,
q896,can take my mind off my problems,i can take my mind off my problems,not assigned,
q897,can take strong measures,i can take strong measures,provocativeness,1.0
q898,can take the viewpoint of others,i can take the viewpoint of others,not assigned,
q899,can talk my way out of anything,i can talk my way out of anything,not assigned,
q900,can talk others into doing things,i can talk others into doing things,machiavellianism,1.0
q901,can tell from persons attitudes what they will do next,i can tell from persons attitudes what they will do next,not assigned,
q902,can think of a snappy reply,i can think of a snappy reply,not assigned,
q903,can think of many different ways to solve problems,i can think of many different ways to solve problems,not assigned,
q904,can think of one or more times in my life where i was very brave,i can think of one or more times in my life where i was very brave,not assigned,
q905,can understand a strangers character at first sight,i can understand a strangers character at first sight,not assigned,
q906,can understand the rules of the groups of which i am a member,i can understand the rules of the groups of which i am a member,not assigned,
q907,can usually appreciate other points of view,i can usually appreciate other points of view,not assigned,
q908,can usually bring my attention back to whatever i was doing after being interrupted,i can usually bring my attention back to whatever i was doing after being interrupted,not assigned,
q909,can work under pressure,i can work under pressure,problem-solving,1.0
q910,cannot afford to buy things i need,i cannot afford to buy things i need,not assigned,
q911,cannot be bothered with others needs,i cannot be bothered with others needs,compassion,-1.0
q912,cannot be counted on to get things done,i cannot be counted on to get things done,irresponsibility,1.0
q913,cannot come up with new ideas,i cannot come up with new ideas,ingenuity,-1.0
q914,cannot concentrate,i cannot concentrate,moderation,-1.0
q915,cannot control my impulses when i am really stressed,i cannot control my impulses when i am really stressed,not assigned,
q916,cannot control the urge to hurt myself when something goes wrong,i cannot control the urge to hurt myself when something goes wrong,not assigned,
q917,cannot do without the company of others,i cannot do without the company of others,introversion,-1.0
q918,cannot find the right words for my feelings,i cannot find the right words for my feelings,not assigned,
q919,cannot hear for awhile (as if i am deaf),i cannot hear for awhile (as if i am deaf),not assigned,
q920,cannot help but look upset when something bad happens,i cannot help but look upset when something bad happens,negative expressivity,1.0
q921,cannot help noticing whether something i read is grammatically correct,i cannot help noticing whether something i read is grammatically correct,not assigned,
q922,cannot hold back my tongue when criticized,i cannot hold back my tongue when criticized,not assigned,
q923,cannot hold onto money for long,i cannot hold onto money for long,not assigned,
q924,cannot imagine lying or cheating,i cannot imagine lying or cheating,prudence,1.0
q925,cannot keep to the subject,i cannot keep to the subject,not assigned,
q926,cannot make up my mind,i cannot make up my mind,poise,-1.0
q927,cannot put my ideas into practice,i cannot put my ideas into practice,not assigned,
q928,cannot remember the last time i smiled,i cannot remember the last time i smiled,not assigned,
q929,cannot remember the last time i thought about sex,i cannot remember the last time i thought about sex,not assigned,
q930,cannot resist eating candy or cookies if they are around,i cannot resist eating candy or cookies if they are around,self-control/self-regulation,-1.0
q931,cannot say no,i cannot say no,not assigned,
q932,cannot see for awhile (as if i am blind),i cannot see for awhile (as if i am blind),not assigned,
q933,cannot seem to deal with stress at work/school,i cannot seem to deal with stress at work/school,not assigned,
q934,cannot sleep for nights on end but remain active during the daytime,i cannot sleep for nights on end but remain active during the daytime,not assigned,
q935,cannot speak (or only with great effort) or can only whisper,i cannot speak (or only with great effort) or can only whisper,not assigned,
q936,cannot stand aggressive people,i cannot stand aggressive people,not assigned,
q937,cannot stand being alone,i cannot stand being alone,introspection/private self-consciousness,-1.0
q938,cannot stand being contradicted,i cannot stand being contradicted,flexibility,-1.0
q939,cannot stand being late,i cannot stand being late,not assigned,
q940,cannot stand confrontations,i cannot stand confrontations,cooperation,1.0
q941,cannot stand impolite people,i cannot stand impolite people,not assigned,
q942,cannot stand nosey people,i cannot stand nosey people,not assigned,
q943,cannot stand on my own,i cannot stand on my own,"locus of control,internal",-1.0
q944,cannot stand pushy people,i cannot stand pushy people,not assigned,
q945,cannot stand quarrels,i cannot stand quarrels,not assigned,
q946,cannot stand rude people,i cannot stand rude people,not assigned,
q947,cannot stand waiting,i cannot stand waiting,not assigned,
q948,cannot stand weak people,i cannot stand weak people,sympathy,-1.0
q949,cannot stop thinking about all of my mistakes,i cannot stop thinking about all of my mistakes,not assigned,
q950,cannot swallow or only with a great effort,i cannot swallow or only with a great effort,not assigned,
q951,cannot think clearly when under pressure,i cannot think clearly when under pressure,not assigned,
q952,cannot wait to get started on a project,i cannot wait to get started on a project,vitality/enthusiasm/zest,1.0
q953,care about justice,i care about justice,morality,1.0
q954,care about others,i care about others,callousness,-1.0
q955,care for cattle or horses,i care for cattle or horses,construction/mechanical interests,1.0
q956,care for sick people,i care for sick people,altruism,1.0
q957,cared for a pet animal,i cared for a pet animal,interest in pets,1.0
q958,cared for a potted plant,i cared for a potted plant,interest in gardening,1.0
q959,carry around something that gives me good luck,i carry around something that gives me good luck,not assigned,
q960,carry out medical research,i carry out medical research,science interest,1.0
q961,carry out my plans,i carry out my plans,conscientiousness,1.0
q962,carry the conversation to a higher level,i carry the conversation to a higher level,creativity/originality,1.0
q963,catch on to things quickly,i catch on to things quickly,intellect,1.0
q964,cause accidents,i cause accidents,not assigned,
q965,challenge others points of view,i challenge others points of view,dominance,1.0
q966,change my mind,i change my mind,not assigned,
q967,change my mood a lot,i change my mood a lot,anger,1.0
q968,change myself to suit others,i change myself to suit others,unpretentiousness,-1.0
q969,changed a habit to have less impact on the environment,i changed a habit to have less impact on the environment,interest in environmentalism,1.0
q970,chatter away aimlessly,i chatter away aimlessly,not assigned,
q971,cheat on people who have trusted me,i cheat on people who have trusted me,equity/fairness,-1.0
q972,cheat to get ahead,i cheat to get ahead,equity/fairness,-1.0
q973,cheated my way through school,i cheated my way through school,not assigned,
q974,check on things more often than necessary,i check on things more often than necessary,obsessive-compulsive symptoms,1.0
q975,check over my work,i check over my work,dutifulness,1.0
q976,checked the sales ads in a newspaper,i checked the sales ads in a newspaper,interest in shopping,1.0
q977,cheer loudly at sporting events,i cheer loudly at sporting events,sociability,1.0
q978,cheer people up,i cheer people up,friendliness,1.0
q979,cherish mementos,i cherish mementos,tenderness,1.0
q980,chewed gum,i chewed gum,interest in food,1.0
q981,choose my words with care,i choose my words with care,deliberateness,1.0
q982,choose the easy way,i choose the easy way,planfulness,-1.0
q983,chose to spend a day by myself,i chose to spend a day by myself,reclusiveness,1.0
q984,claim to be able to do everything,i claim to be able to do everything,not assigned,
q985,cleaned the house,i cleaned the house,interest in home-making,1.0
q986,collect things that i do not need,i collect things that i do not need,not assigned,
q987,collect things that no one else wants,i collect things that no one else wants,not assigned,
q988,come straight to the point,i come straight to the point,rationality,1.0
q989,come up with a solution right away,i come up with a solution right away,assertiveness,1.0
q990,come up with alternatives,i come up with alternatives,insight,1.0
q991,come up with bold plans,i come up with bold plans,ingenuity,1.0
q992,come up with excuses to avoid meeting new people,i come up with excuses to avoid meeting new people,not assigned,
q993,come up with good solutions,i come up with good solutions,competence,1.0
q994,come up with new ways to do things,i come up with new ways to do things,creativity/originality,1.0
q995,come up with something new,i come up with something new,creativity/originality,1.0
q996,come up with unworkable plans,i come up with unworkable plans,planfulness,-1.0
q997,comment loudly about others,i comment loudly about others,cooperation,-1.0
q998,compete in athletic events,i compete in athletic events,adventurousness,1.0
q999,complete my duties as soon as possible,i complete my duties as soon as possible,not assigned,
q1000,complete tasks successfully,i complete tasks successfully,conscientiousness,1.0
q1001,composted food scraps or yard waste,i composted food scraps or yard waste,interest in environmentalism,1.0
q1002,conform to others opinions,i conform to others opinions,negative-valence,1.0
q1003,confuse fantasies with real memories,i confuse fantasies with real memories,not assigned,
q1004,consider my behavior to be pretty average,i consider my behavior to be pretty average,not assigned,
q1005,consider my motives before acting,i consider my motives before acting,not assigned,
q1006,consider myself a disabled person,i consider myself a disabled person,not assigned,
q1007,consider myself an average person,i consider myself an average person,modesty/humility,1.0
q1008,consider myself good-looking,i consider myself good-looking,not assigned,
q1009,consider myself old,i consider myself old,not assigned,
q1010,consider myself to be a wise person,i consider myself to be a wise person,wisdom/perspective,1.0
q1011,consider others advice,i consider others advice,not assigned,
q1012,consider others opinions,i consider others opinions,not assigned,
q1013,construct new buildings,i construct new buildings,construction/mechanical interests,1.0
q1014,consult the library or the internet immediately if i want to know something,i consult the library or the internet immediately if i want to know something,love of learning,1.0
q1015,continue until everything is perfect,i continue until everything is perfect,conscientiousness,1.0
q1016,contradict others,i contradict others,disparagement,1.0
q1017,control others by my anger,i control others by my anger,not assigned,
q1018,cooked a meal,i cooked a meal,interest in home-making,1.0
q1019,cope poorly with stress,i cope poorly with stress,not assigned,
q1020,copy others,i copy others,negative-valence,1.0
q1021,could be a success in many fields,i could be a success in many fields,hypomanic exhibitionism,1.0
q1022,could easily live without having sex,i could easily live without having sex,romantic disinterest,1.0
q1023,could go months without a thought of sex crossing my mind,i could go months without a thought of sex crossing my mind,not assigned,
q1024,could never imagine hurting another person,i could never imagine hurting another person,not assigned,
q1025,could never stop loving my family and close friends no matter what they did,i could never stop loving my family and close friends no matter what they did,capacity for love,1.0
q1026,could not get going,i could not get going,depression,1.0
q1027,could stare at a painting or picture for hours,i could stare at a painting or picture for hours,not assigned,
q1028,counsel persons who need help,i counsel persons who need help,altruism,1.0
q1029,count on others too much,i count on others too much,not assigned,
q1030,counter others arguments,i counter others arguments,intellect,1.0
q1031,crave romantic touch,i crave romantic touch,not assigned,
q1032,crave the attention i get after hurting myself,i crave the attention i get after hurting myself,not assigned,
q1033,crave the experience of great art,i crave the experience of great art,aesthetic appreciation/artistic interests,1.0
q1034,create new fashion designs,i create new fashion designs,creativity/originality,1.0
q1035,create problems for others,i create problems for others,not assigned,
q1036,create something of value out of nothing,i create something of value out of nothing,not assigned,
q1037,create works of art,i create works of art,creativity/originality,1.0
q1038,criticize others shortcomings,i criticize others shortcomings,pleasantness,-1.0
q1039,cry during movies,i cry during movies,sensitivity,1.0
q1040,cry easily,i cry easily,imperturbability,-1.0
q1041,cultivate plants,i cultivate plants,construction/mechanical interests,1.0
q1042,cut conversations short,i cut conversations short,politeness,-1.0
q1043,cut others to pieces,i cut others to pieces,agreeableness,-1.0
q1044,dare to say anything,i dare to say anything,provocativeness,1.0
q1045,deal efficiently with practical matters,i deal efficiently with practical matters,not assigned,
q1046,deal with anger by acting out,i deal with anger by acting out,not assigned,
q1047,debate topics in a public meeting,i debate topics in a public meeting,leadership,1.0
q1048,deceive people,i deceive people,manipulativeness,1.0
q1049,decide things for others,i decide things for others,not assigned,
q1050,decide things on my own,i decide things on my own,not assigned,
q1051,defend my own beliefs,i defend my own beliefs,not assigned,
q1052,demand a lot from others,i demand a lot from others,sympathy,-1.0
q1053,demand attention,i demand attention,impulse-control,-1.0
q1054,demand explanations from others,i demand explanations from others,assertiveness,1.0
q1055,demand obedience,i demand obedience,cool-headedness,-1.0
q1056,demand perfection in myself,i demand perfection in myself,not assigned,
q1057,demand perfection in others,i demand perfection in others,perfectionism,1.0
q1058,demand quality,i demand quality,achievement-striving,1.0
q1059,demand the impossible of others,i demand the impossible of others,not assigned,
q1060,demand to be the center of interest,i demand to be the center of interest,dominance,1.0
q1061,deny others their turn,i deny others their turn,not assigned,
q1062,depend on science to explain miracles,i depend on science to explain miracles,not assigned,
q1063,describe lots of irrelevant details when telling a story,i describe lots of irrelevant details when telling a story,not assigned,
q1064,deserve more than i am getting,i deserve more than i am getting,not assigned,
q1065,deserve special treatment from others,i deserve special treatment from others,grandiosity,1.0
q1066,deserve the very best of everything,i deserve the very best of everything,not assigned,
q1067,deserve to be admired,i deserve to be admired,not assigned,
q1068,design a laboratory experiment,i design a laboratory experiment,science interest,1.0
q1069,design internet web pages,i design internet web pages,creativity/originality,1.0
q1070,detect mistakes,i detect mistakes,perfectionism,1.0
q1071,detest working,i detest working,not assigned,
q1072,develop a computer program,i develop a computer program,science interest,1.0
q1073,develop an office filing system,i develop an office filing system,organization,1.0
q1074,did aerobic exercise,i did aerobic exercise,interest in exercise,1.0
q1075,did not feel like eating even though i should have been hungry,i did not feel like eating even though i should have been hungry,depression,1.0
q1076,did yard work,i did yard work,interest in gardening,1.0
q1077,did yoga or other movement exercises,i did yoga or other movement exercises,interest in exercise,1.0
q1078,dined by candle light,i dined by candle light,interest in romance,1.0
q1079,disapprove of gift giving because it encourages weakness,i disapprove of gift giving because it encourages weakness,not assigned,
q1080,disclose my intimate thoughts,i disclose my intimate thoughts,reserve,-1.0
q1081,discuss my health problems with my family and friends,i discuss my health problems with my family and friends,not assigned,
q1082,discussed religion or spirituality,i discussed religion or spirituality,spirituality/religiousness,1.0
q1083,discussed sports,i discussed sports,interest in sports,1.0
q1084,dislike being around happy people when i am feeling sad,i dislike being around happy people when i am feeling sad,responsive joy,-1.0
q1085,dislike being complimented,i dislike being complimented,reclusiveness,1.0
q1086,dislike being the center of attention,i dislike being the center of attention,submissiveness,1.0
q1087,dislike changes,i dislike changes,adventurousness,-1.0
q1088,dislike childrens birthday parties,i dislike childrens birthday parties,responsive joy,-1.0
q1089,dislike competing with others,i dislike competing with others,sentimentality,1.0
q1090,dislike having authority over others,i dislike having authority over others,leadership,-1.0
q1091,dislike having to do more than one task at a time,i dislike having to do more than one task at a time,not assigned,
q1092,dislike imperfect work,i dislike imperfect work,rationality,1.0
q1093,dislike incompetence,i dislike incompetence,not assigned,
q1094,dislike learning,i dislike learning,intellect,-1.0
q1095,dislike looking at my body,i dislike looking at my body,physical attractiveness,-1.0
q1096,dislike looking at myself in the mirror,i dislike looking at myself in the mirror,physical attractiveness,-1.0
q1097,dislike loud music,i dislike loud music,sociability,-1.0
q1098,dislike movies with happy hollywood endings,i dislike movies with happy hollywood endings,conservatism,-1.0
q1099,dislike myself,i dislike myself,happiness,-1.0
q1100,dislike neighbors living too close,i dislike neighbors living too close,sociability,-1.0
q1101,dislike neon signs and florescent colors,i dislike neon signs and florescent colors,not assigned,
q1102,dislike new foods,i dislike new foods,adventurousness,-1.0
q1103,dislike routine,i dislike routine,orderliness,-1.0
q1104,dislike smells that i usually like,i dislike smells that i usually like,not assigned,
q1105,dislike surprises,i dislike surprises,not assigned,
q1106,dislike taking responsibility for making decisions,i dislike taking responsibility for making decisions,leadership,-1.0
q1107,dislike talking about myself,i dislike talking about myself,talkativeness,-1.0
q1108,dislike tastes that i usually like,i dislike tastes that i usually like,not assigned,
q1109,dislike the unknown,i dislike the unknown,adventurousness,-1.0
q1110,dislike when my friends spend too much time with other friends,i dislike when my friends spend too much time with other friends,not assigned,
q1111,dislike work,i dislike work,not assigned,
q1112,dislike works of fiction,i dislike works of fiction,sensitivity,-1.0
q1113,disliked math in school,i disliked math in school,interest in game-playing,-1.0
q1114,disregard rules,i disregard rules,responsibility,-1.0
q1115,disregard the opinions of others,i disregard the opinions of others,trust,-1.0
q1116,distrust people,i distrust people,forgiveness/mercy,-1.0
q1117,distrust the medical profession to handle my health,i distrust the medical profession to handle my health,not assigned,
q1118,do a lot in my spare time,i do a lot in my spare time,politeness,1.0
q1119,do a lot of things just to avoid getting sick,i do a lot of things just to avoid getting sick,not assigned,
q1120,do as i am told,i do as i am told,not assigned,
q1121,do crazy things,i do crazy things,risk-taking/sensation-seeking/thrill-seeking,1.0
q1122,do dangerous things,i do dangerous things,cooperation,-1.0
q1123,do everything i say i will do,i do everything i say i will do,not assigned,
q1124,do favors for others only so i can ask for something for myself later,i do favors for others only so i can ask for something for myself later,not assigned,
q1125,do improper things,i do improper things,dutifulness,-1.0
q1126,do just enough work to get by,i do just enough work to get by,competence,-1.0
q1127,do many things with ease,i do many things with ease,not assigned,
q1128,do more than what is expected of me,i do more than what is expected of me,industriousness/perseverance/persistence,1.0
q1129,do most of the talking,i do most of the talking,talkativeness,1.0
q1130,do my best to avoid arguments,i do my best to avoid arguments,not assigned,
q1131,do my tasks only just before they need to be done,i do my tasks only just before they need to be done,self-control/self-regulation,-1.0
q1132,do not act is if i am a special person,i do not act is if i am a special person,modesty/humility,1.0
q1133,do not act like a show-off,i do not act like a show-off,not assigned,
q1134,do not always practice what i preach,i do not always practice what i preach,impression-management,-1.0
q1135,do not analyze the reasons for my actions,i do not analyze the reasons for my actions,not assigned,
q1136,do not approach things halfheartedly,i do not approach things halfheartedly,vitality/enthusiasm/zest,1.0
q1137,do not attempt to conform to societys expectations,i do not attempt to conform to societys expectations,not assigned,
q1138,do not believe humans are truly capable of love,i do not believe humans are truly capable of love,not assigned,
q1139,do not believe in a universal power or a god,i do not believe in a universal power or a god,spirituality/religiousness,-1.0
q1140,do not bother to make an effort,i do not bother to make an effort,planfulness,-1.0
q1141,do not bother with polite conversation,i do not bother with polite conversation,not assigned,
q1142,do not bother worrying about political and social problems,i do not bother worrying about political and social problems,inquisitiveness,-1.0
q1143,do not brag about my accomplishments,i do not brag about my accomplishments,modesty/humility,1.0
q1144,do not call attention to myself,i do not call attention to myself,modesty/humility,1.0
q1145,do not call people just to talk,i do not call people just to talk,tenderness,-1.0
q1146,do not care about dressing nicely,i do not care about dressing nicely,appearance-consciousness,-1.0
q1147,do not care about rules,i do not care about rules,conservatism,-1.0
q1148,do not care how my actions affect others,i do not care how my actions affect others,callousness,1.0
q1149,do not care if i offend others with bad manners,i do not care if i offend others with bad manners,not assigned,
q1150,do not care much about how society tells me to behave,i do not care much about how society tells me to behave,not assigned,
q1151,do not care what others think,i do not care what others think,conformity/dependence/need for approval,-1.0
q1152,do not care what people think of me,i do not care what people think of me,conformity/dependence/need for approval,1.0
q1153,do not care whether i am considered special,i do not care whether i am considered special,unpretentiousness,1.0
q1154,do not commit myself to things,i do not commit myself to things,not assigned,
q1155,do not consider a task finished until it is perfect,i do not consider a task finished until it is perfect,perfectionism,1.0
q1156,do not consider myself attractive,i do not consider myself attractive,physical attractiveness,-1.0
q1157,do not consider myself religious,i do not consider myself religious,traditionalism,-1.0
q1158,do not desire things that others have,i do not desire things that others have,not assigned,
q1159,do not discard old pictures or snapshots,i do not discard old pictures or snapshots,not assigned,
q1160,do not easily share my feelings with others,i do not easily share my feelings with others,capacity for love,-1.0
q1161,do not enjoy being in the spotlight,i do not enjoy being in the spotlight,exhibitionism,-1.0
q1162,do not enjoy being the object of jokes,i do not enjoy being the object of jokes,not assigned,
q1163,do not enjoy doing quiet leisure activities,i do not enjoy doing quiet leisure activities,adhd,1.0
q1164,do not enjoy going to art museums,i do not enjoy going to art museums,aesthetic appreciation/artistic interests,-1.0
q1165,do not enjoy kissing,i do not enjoy kissing,not assigned,
q1166,do not enjoy watching dance performances,i do not enjoy watching dance performances,aesthetic appreciation/artistic interests,-1.0
q1167,do not exercise on a regular basis,i do not exercise on a regular basis,self-control/self-regulation,-1.0
q1168,do not fall for sob-stories,i do not fall for sob-stories,callousness,1.0
q1169,do not feel close to people,i do not feel close to people,social withdrawal,1.0
q1170,do not feel the need to be close to others,i do not feel the need to be close to others,not assigned,
q1171,do not finish the things that i start,i do not finish the things that i start,adhd,1.0
q1172,do not finish what i start,i do not finish what i start,industriousness/perseverance/persistence,-1.0
q1173,do not get excited about things,i do not get excited about things,tenderness,-1.0
q1174,do not get particularly upset when i lose things,i do not get particularly upset when i lose things,not assigned,
q1175,do not get sidetracked when i work,i do not get sidetracked when i work,industriousness/perseverance/persistence,1.0
q1176,do not give anyone a second chance to hurt me,i do not give anyone a second chance to hurt me,forgiveness/mercy,-1.0
q1177,do not give up easily,i do not give up easily,not assigned,
q1178,do not go out of my way to make others smile or laugh,i do not go out of my way to make others smile or laugh,humor/playfulness,-1.0
q1179,do not have a good imagination,i do not have a good imagination,imagination,-1.0
q1180,do not have a place i call home,i do not have a place i call home,not assigned,
q1181,do not have a soft side,i do not have a soft side,sentimentality,-1.0
q1182,do not have an assertive personality,i do not have an assertive personality,assertiveness,-1.0
q1183,do not have much energy,i do not have much energy,vitality/enthusiasm/zest,-1.0
q1184,do not have strong feelings about anyone or anything,i do not have strong feelings about anyone or anything,not assigned,
q1185,do not hesitate to express an unpopular opinion,i do not hesitate to express an unpopular opinion,bravery/courage/valor,1.0
q1186,do not indulge in violence,i do not indulge in violence,not assigned,
q1187,do not know how to handle myself in a new social situation,i do not know how to handle myself in a new social situation,social/personal/emotional intelligence,-1.0
q1188,do not know much about history,i do not know much about history,inquisitiveness,-1.0
q1189,do not know what i really want,i do not know what i really want,not assigned,
q1190,do not know what is going on inside me,i do not know what is going on inside me,not assigned,
q1191,do not know why i am angry,i do not know why i am angry,not assigned,
q1192,do not know why i do some of the things i do,i do not know why i do some of the things i do,self-acceptance,-1.0
q1193,do not learn from my experiences,i do not learn from my experiences,not assigned,
q1194,do not let an illness or injury change my daily habits,i do not let an illness or injury change my daily habits,not assigned,
q1195,do not let little things anger me,i do not let little things anger me,anger,-1.0
q1196,do not let others cut in front of me in line,i do not let others cut in front of me in line,not assigned,
q1197,do not let others discourage me,i do not let others discourage me,anxiety,-1.0
q1198,do not let others take credit for my work,i do not let others take credit for my work,docility,-1.0
q1199,do not like action movies,i do not like action movies,sentimentality,1.0
q1200,do not like art,i do not like art,aesthetic appreciation/artistic interests,-1.0
q1201,do not like being away from civilization,i do not like being away from civilization,reclusiveness,-1.0
q1202,do not like being interrupted,i do not like being interrupted,not assigned,
q1203,do not like being laughed at,i do not like being laughed at,not assigned,
q1204,do not like concerts,i do not like concerts,aesthetic appreciation/artistic interests,-1.0
q1205,do not like crowded events,i do not like crowded events,sociability,-1.0
q1206,do not like getting dirt on my hands,i do not like getting dirt on my hands,not assigned,
q1207,do not like poetry,i do not like poetry,openness to experience,-1.0
q1208,do not like reading or hearing opinions that go against my way of thinking,i do not like reading or hearing opinions that go against my way of thinking,rigidity,1.0
q1209,do not like running errands for others,i do not like running errands for others,not assigned,
q1210,do not like seeing people dressed carelessly,i do not like seeing people dressed carelessly,not assigned,
q1211,do not like sex,i do not like sex,not assigned,
q1212,do not like the idea of change,i do not like the idea of change,variety-seeking,-1.0
q1213,do not like to be noticed when i walk into a room,i do not like to be noticed when i walk into a room,not assigned,
q1214,do not like to draw attention to myself,i do not like to draw attention to myself,extraversion,-1.0
q1215,do not like to get dressed up,i do not like to get dressed up,attractiveness,-1.0
q1216,do not like to get involved in other peoples problems,i do not like to get involved in other peoples problems,empathy,-1.0
q1217,do not like to learn new things,i do not like to learn new things,love of learning,-1.0
q1218,do not like to ponder over things,i do not like to ponder over things,introspection/private self-consciousness,-1.0
q1219,do not like to share even when others desperately need what i have,i do not like to share even when others desperately need what i have,not assigned,
q1220,do not like to spend money,i do not like to spend money,not assigned,
q1221,do not like to travel,i do not like to travel,adventurousness,-1.0
q1222,do not like to visit museums,i do not like to visit museums,love of learning,-1.0
q1223,do not lose my head,i do not lose my head,toughness,1.0
q1224,do not make a big deal about gifts that i receive,i do not make a big deal about gifts that i receive,gratitude,-1.0
q1225,do not make lists,i do not make lists,not assigned,
q1226,do not make polite excuses,i do not make polite excuses,not assigned,
q1227,do not mind asking for favors,i do not mind asking for favors,not assigned,
q1228,do not mind being the center of attention,i do not mind being the center of attention,provocativeness,1.0
q1229,do not mind cutting in line,i do not mind cutting in line,not assigned,
q1230,do not mind eating alone,i do not mind eating alone,introspection/private self-consciousness,1.0
q1231,do not mind others making fun of me,i do not mind others making fun of me,not assigned,
q1232,do not miss group meetings or team practices,i do not miss group meetings or team practices,teamwork/citizenship,1.0
q1233,do not often talk about things that i have achieved,i do not often talk about things that i have achieved,not assigned,
q1234,do not pay attention,i do not pay attention,interest in game-playing,-1.0
q1235,do not pay enough attention when others are speaking to me,i do not pay enough attention when others are speaking to me,adhd,1.0
q1236,do not pay much attention to the material objects other people own,i do not pay much attention to the material objects other people own,not assigned,
q1237,do not place much emphasis on the amount of material objects people own as a sign of their success,i do not place much emphasis on the amount of material objects people own as a sign of their success,not assigned,
q1238,do not plan ahead,i do not plan ahead,conscientiousness,-1.0
q1239,do not plan anything very far in advance,i do not plan anything very far in advance,not assigned,
q1240,do not practice any religion,i do not practice any religion,spirituality/religiousness,-1.0
q1241,do not pretend to be more than i am,i do not pretend to be more than i am,sincerity,1.0
q1242,do not pride myself on being original,i do not pride myself on being original,creativity/originality,-1.0
q1243,do not put a lot of thought into things,i do not put a lot of thought into things,politeness,-1.0
q1244,do not put my mind on the task at hand,i do not put my mind on the task at hand,industriousness/perseverance/persistence,-1.0
q1245,do not quit a task before it is finished,i do not quit a task before it is finished,industriousness/perseverance/persistence,1.0
q1246,do not quit easily even when things are hard,i do not quit easily even when things are hard,not assigned,
q1247,do not read nonfiction books for fun,i do not read nonfiction books for fun,love of learning,-1.0
q1248,do not reveal my intentions,i do not reveal my intentions,not assigned,
q1249,do not see much hope for myself,i do not see much hope for myself,not assigned,
q1250,do not see the consequences of things,i do not see the consequences of things,self-efficacy,-1.0
q1251,do not see the need to acknowledge others who are good to me,i do not see the need to acknowledge others who are good to me,gratitude,-1.0
q1252,do not see things through,i do not see things through,competence,-1.0
q1253,do not show my feelings,i do not show my feelings,not assigned,
q1254,do not soften the truth,i do not soften the truth,not assigned,
q1255,do not speak my mind freely when there might be negative results,i do not speak my mind freely when there might be negative results,bravery/courage/valor,-1.0
q1256,do not stand up for my beliefs,i do not stand up for my beliefs,bravery/courage/valor,-1.0
q1257,do not strive for elegance in my appearance,i do not strive for elegance in my appearance,greed avoidance,1.0
q1258,do not take many risks,i do not take many risks,not assigned,
q1259,do not take news at face value,i do not take news at face value,not assigned,
q1260,do not take orders well,i do not take orders well,not assigned,
q1261,do not talk a lot,i do not talk a lot,reserve,1.0
q1262,do not talk badly to outsiders about my own group,i do not talk badly to outsiders about my own group,teamwork/citizenship,1.0
q1263,do not tend to stick with what i decide to do,i do not tend to stick with what i decide to do,industriousness/perseverance/persistence,-1.0
q1264,do not tend to think things through critically,i do not tend to think things through critically,judgment/open-mindedness,-1.0
q1265,do not think about decisions,i do not think about decisions,planfulness,-1.0
q1266,do not think about different possibilities when making decisions,i do not think about different possibilities when making decisions,judgment/open-mindedness,-1.0
q1267,do not think about more possibilities than the one i like first,i do not think about more possibilities than the one i like first,judgment/open-mindedness,-1.0
q1268,do not think as well as i used to,i do not think as well as i used to,not assigned,
q1269,do not think i should have to wait in lines like others,i do not think i should have to wait in lines like others,grandiosity,1.0
q1270,do not think it is important to socialize with others,i do not think it is important to socialize with others,teamwork/citizenship,-1.0
q1271,do not think laws apply to me,i do not think laws apply to me,dutifulness,-1.0
q1272,do not think much about sex,i do not think much about sex,romantic disinterest,1.0
q1273,do not think of tomorrow,i do not think of tomorrow,not assigned,
q1274,do not think straight when i am upset,i do not think straight when i am upset,not assigned,
q1275,do not think that i am better than other people,i do not think that i am better than other people,modesty/humility,1.0
q1276,do not think that laws apply to me,i do not think that laws apply to me,not assigned,
q1277,do not think that schooling is important,i do not think that schooling is important,not assigned,
q1278,do not tolerate critics,i do not tolerate critics,adaptability,-1.0
q1279,do not trust the integrity of the police,i do not trust the integrity of the police,not assigned,
q1280,do not try to figure myself out,i do not try to figure myself out,introspection/private self-consciousness,-1.0
q1281,do not try to get even,i do not try to get even,forgiveness/mercy,1.0
q1282,do not understand people who get emotional,i do not understand people who get emotional,sentimentality,-1.0
q1283,do not understand things,i do not understand things,self-efficacy,-1.0
