,impressions,age,gender,id,target,fold,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32
132,They are somewhat shy but sensitive to the feelings of others,76.0,2,5cb34fdb9a26a300017302d8,59.0,7.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,
133,This person doesn't like to be laughed at. Humor is not one of their primary coping mechanisms.,60.0,2,644a53ac09de69785b70ec16,5.0,1.0,,,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,2.0,,,,,,,,,
134,Giving person that likes to make others happy and likes the little things in life,31.0,1,63d20ab5cc10928b0f1614e1,37.0,1.0,,,2.0,,,,,,,,2.0,4.0,,,,,,,,,,,5.0,,,,,,,,,
135,This person enjoys humor but not to make fun of people.,55.0,2,5dcf402982569a08ddd84086,36.0,2.0,,,,,,,,,,,,,,,5.0,,2.0,,,,,,,,,,1.0,,3.0,,,
136,Mean and laugh at the expense of others,38.0,2,63ed006ddb2d5273d9e42aa0,28.0,8.0,,,,,,,,4.0,,3.0,,,,,,,,,,5.0,,,,,,,,,,,,
137,They seem to be quite serious and a bit critical.,33.0,2,602b5ccc19eacc286402decf,20.0,1.0,,,3.0,,,,,,,,4.0,2.0,,,,,,,,,,,2.0,,,,,,,,,
138,They use humor but don’t put others or themselves down. ,62.0,2,610d3f2e9d2333e4a86ca9bc,47.0,7.0,,,,,5.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,,
139,This person uses humor as a way to distract themselves from feeling their feelings. ,37.0,2,615dd1eb2702a672f7db49f1,48.0,10.0,,,,,,,,,,,,,5.0,,,3.0,,,,,,1.0,,,,,,,,,,
140,I think of them to be a friendly and humorous person,21.0,1,63d4cfb45a76b5238685cf96,11.0,10.0,,,,,,,,,,,,,4.0,,,4.0,,,,,,4.0,,,,,,,,,,
141,This person has low self esteem and is willing to be the butt of the joke to make others happy.,27.0,2,5c257b7dda51990001e2787c,7.0,6.0,,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0
142,"Kind, willing to please, optimistic",49.0,2,5c696229bd58280001b4f554,42.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,4.0,,,,,3.0,
143,"They use humor to gain attention, distract from sad feelings, and to feel superior",38.0,2,64391a3e865bd6050254a6c2,43.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,1.0,
144,"They do not appreciate self-deprecating humor or humor at his expense but doesn't have trouble making others the focus of their humor.  This person feels the need to avoid pain and fills in by deflecting, looking for funny.",63.0,2,637058f9e7a26c452d1cc49a,51.0,9.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
145,"I think regardless of what this person says they are, all in all they are a good person",22.0,2,5e867394499bf02a03897f0a,46.0,6.0,,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0
146,happy easy going sometimes mean,50.0,2,5f1b2816e83bcd2d4563a28b,21.0,9.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
147,"This person likes to laugh and makes jokes, but not at the expense of themselves or others. ",31.0,2,63f8083b81d600b33e288f21,9.0,1.0,,,1.0,,,,,,,,3.0,2.0,,,,,,,,,,,5.0,,,,,,,,,
148,I think this is a regular person who need some sensitivity training.,69.0,1,62c55056993f53f1e8cf8e30,61.0,7.0,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,,
149,They are neutral about everything. They don't think they themselves are funny but admitted that perhaps people may find their jokes offensive. They don't seem to care if people laugh at their expense but they don't tend to make the jokes at their own expense themself.,30.0,3,5a2ef2d89c334d0001775a0c,4.0,1.0,,,3.0,,,,,,,,4.0,3.0,,,,,,,,,,,3.0,,,,,,,,,
150,"This person has low self esteem. They want friends and desperately want to be accepted, often at their own expense (by making fun of or belittling themselves to make others laugh). ",43.0,2,63f7cf04c7b1a4c4972e9254,49.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,4.0,,,,2.0,,,,,,,
151,They use humor a lot but try to make fun of themselves rather than put others down,20.0,2,62da8e8abbfeb327b504a31a,53.0,7.0,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,
152,they seem like a good person,23.0,3,60bebaad355aa083fd9b8c60,32.0,1.0,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,,
153,They seem to joke alot and seem like a happy person,21.0,2,63ebf25595f1aa5e5bfd5e69,52.0,7.0,,,,,5.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,
154,"Kind of erratic, seems undecided about how they feel about making people laugh",22.0,2,5fb608dd0aef3d0539ddfa91,35.0,8.0,,,,,,,,4.0,,3.0,,,,,,,,,,4.0,,,,,,,,,,,,
155,a likeable person who tries not to offend people,48.0,2,5e69076e64d2fb1bc091241a,2.0,6.0,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0
156,Insecure about themselves ,60.0,2,63eede94f681b834bca2a179,30.0,8.0,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
157,He has an interesting relationship with humor; he doesn't seem to like putting himself down or others. It seems like he enjoys humor but has a dark sense of humor that fails to lighten the mood when he's depressed. (Or I could be misinterpreting it?),49.0,1,638a66471585cb7583285740,8.0,4.0,,,,,,1.0,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,
158,Sad and covers it with humor ,43.0,2,5ba5b97e38803d0001265b23,18.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,2.0,
159,They seem moderately agreeable and easy to get along with ,49.0,2,614faec89136e6e4aebe7dfc,60.0,3.0,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,2.0,,,,,,,
160,They like to use humor a lot.,39.0,1,614e6f4f00a9e94b123316d3,39.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,,,,2.0,
161,This person will laugh at others,35.0,2,608981c1be83df6a5452398e,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,2.0,
162,Doesn’t like to make fun at others expense. ,55.0,1,63f13a4fe3a48956ba99d30f,37.0,7.0,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,5.0,,
163,They are a naturally funny person who is for the most part very aware of others feelings. They joke around friends a lot but are careful around people outside their groups,27.0,1,6400f34a0d001f6bd0faadaa,58.0,8.0,,,,,,,,3.0,,5.0,,,,,,,,,,2.0,,,,,,,,,,,,
164,"This person is willing to be the focus of a joke so that others may laugh, but generally does not like humor at the expense of others.",35.0,2,628d14b52b5bd1d83ed1f7d2,40.0,3.0,,,,,,,,,,,,,,4.0,,,,,,,3.0,,,,1.0,,,,,,,
165,"They seem to enjoy humor, but not if it makes them or someone else feel bad. ",33.0,2,6109b95a3954ea5afdd7add9,39.0,8.0,,,,,,,,1.0,,5.0,,,,,,,,,,1.0,,,,,,,,,,,,
166,They often joke about other people. ,67.0,2,61120b45c48a14ebaae1e5b2,18.0,10.0,,,,,,,,,,,,,4.0,,,2.0,,,,,,3.0,,,,,,,,,,
167,"A person who knows when the time and place for humor can be found, often at the expense of their own expressive freedoms. Most people probably think they're serious, or they have resting b**** face.",34.0,1,63bc7645044a7d5ab6c9cb96,26.0,10.0,,,,,,,,,,,,,5.0,,,5.0,,,,,,5.0,,,,,,,,,,
168,just a normal human being with feelings,61.0,2,5be1ca6d91deed00015a986c,15.0,2.0,,,,,,,,,,,,,,,5.0,,3.0,,,,,,,,,,2.0,,1.0,,,
169,I feel like this person is depressed but tries to have a humorous outlook on things to laugh and smile ,29.0,1,64135777abac1cc9ff8e1901,15.0,1.0,,,2.0,,,,,,,,2.0,3.0,,,,,,,,,,,3.0,,,,,,,,,
170,They like to make people laugh ,30.0,1,5de7bebf0feb5a913f41daf2,47.0,9.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
171,This person does not wish to be made the butt of jokes. They may be sensitive or simply very serious and possessed of a sense of their own importance. ,58.0,2,6157b6f47949b07006a288d1,38.0,4.0,,,,,,5.0,,,3.0,,,,,,,,,5.0,,,,,,,,,,,,,,
172,A mixed bag sometimes they have a sense of humor other times they don't ,30.0,1,63d4409d5b0e57d3d3a3819d,30.0,7.0,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,5.0,,
173,a humorous person,40.0,1,5d6349209b22da000117b1bd,42.0,1.0,,,2.0,,,,,,,,5.0,4.0,,,,,,,,,,,2.0,,,,,,,,,
174,I think this person struggles with their self confidence and when troubled or stressed becomes very serious.,51.0,1,6310f7cc10a0cd8f6156091f,3.0,1.0,,,1.0,,,,,,,,1.0,4.0,,,,,,,,,,,2.0,,,,,,,,,
175,This person does not appear to be very happy. This person also does not cope with humor when faced with difficulties. ,25.0,3,609f58e8af0f5f3acedd9806,23.0,4.0,,,,,,3.0,,,4.0,,,,,,,,,3.0,,,,,,,,,,,,,,
176,"This person seems really sad and even if they are not, they sound like a miserable person that I would not want to be around. :) ",21.0,2,60218e476e5dd51a640a61bc,7.0,10.0,,,,,,,,,,,,,1.0,,,3.0,,,,,,4.0,,,,,,,,,,
177,I don’t think they think much about themselves ,36.0,1,5c1c906215a94b00018d4dd3@email.prolific.co,4.0,9.0,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
178,They will do or allow family to make fun of them ifbthat makes them happy ,40.0,2,5f9b38a3e8bb2a1c4db0515e,50.0,2.0,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,3.0,,2.0,,,
179,"they seem to be pretty normal, reasonably resilient, no particular weird self deprecation complex. just like pretty standard answers most reasonable people would give",25.0,2,63d8206869854e2399e8e0a3,11.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,,,4.0,
180,this person just seems to be nonchalant,37.0,2,5999a1096b939900012da1c7,35.0,9.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
181,someone jovial with a good sense of humor. willing to laugh at themselves,46.0,2,610b1591257ac027333f6f2b,61.0,6.0,,5.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0
182,"I think that they seem like they don’t mind offending people.  I did not like that they said when they do not like someone that they make fun of them or use humor to put them down.  They did kind of say that they don’t tell really offensive jokes, but then they also didn’t seem to mind offending others, so it’s kinda tough. ",40.0,2,63f328c923c7c511b2655fe1,45.0,9.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
183,"insecure, self fufilling, aloof",29.0,2,5c2dea19d396500001e2b39d,25.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,1.0,
184,normal,27.0,3,63ea4e8c0e9a66f5843ed4ac,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,,4.0,
185,he likes to make jokes,25.0,2,5f78ce64cb5f144a98a4fa38,44.0,1.0,,,4.0,,,,,,,,3.0,5.0,,,,,,,,,,,3.0,,,,,,,,,
186,laid back and fun loving,46.0,2,5dd1dc9110420023be388e5d,12.0,4.0,,,,,,1.0,,,2.0,,,,,,,,,4.0,,,,,,,,,,,,,,
187,This person is a quiet person.,66.0,2,5f048fdc0aea5b0ae3215fc9,20.0,2.0,,,,,,,,,,,,,,,5.0,,2.0,,,,,,,,,,1.0,,3.0,,,
188,"This person seems to be able to find humor in situations and keep themselves entertained, but doesn't go out of their way to joke around with people. They seem to not really enjoy making their own jokes to other people but perhaps don't mind hearing others' jokes. The jokes or humor they definitely will not stand for or laugh at are jokes at others' or their own expense, especially if meant as criticism. ",27.0,2,5e647d0ce35c88208fdbbb06,55.0,9.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
189,Seems like they just put 1 for everything,39.0,1,5e28e8730fd86a0a19e084cd,8.0,9.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
190,I get the idea that this person thinks they are a funny person.,28.0,1,63d84be2c9a21026d442e728,13.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,,,3.0,
191,They seem to be outgoing and funny but not at their own expense.,26.0,1,6331833c4f06e9f9e4839390,41.0,3.0,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,1.0,,,,,,,
192,I think this person has a carefree way of thinking about life. They like to make others laugh and use jokes and funny comments to cover their true feelings.,37.0,2,60f70dd141e92abede695ec9,48.0,4.0,,,,,,4.0,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,
193,"Extrovert, not too sensitive to the feelings of others, puts others down.",76.0,2,63863ea6fa6d8620e3a6f550,56.0,9.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
194,My impression of this person is positive,45.0,2,594d7e56ad2ce90001b8792a,36.0,1.0,,,4.0,,,,,,,,3.0,4.0,,,,,,,,,,,3.0,,,,,,,,,
195,"This person has a good sense of humor, and doesn’t mind making fun of himself.  He might also have a little bit of depression ",52.0,1,58a53ea734fcb30001053e08,29.0,7.0,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,
196,Typically emotionally stable but has moments of sadness and uses humor to cope,21.0,2,5ef63572411dba0e415b4a79,6.0,6.0,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0
197,they seem to be up and down in their emotions ,46.0,1,63614af3f714542282bd139b,17.0,4.0,,,,,,2.0,,,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,
198,Pretty laid person. ,33.0,1,64143e269d37d7ec27c8a2a9,46.0,8.0,,,,,,,,3.0,,3.0,,,,,,,,,,3.0,,,,,,,,,,,,
199,humourous person that doesnt like to put people down,21.0,1,5e9b621702bbdc069b2496c4,28.0,10.0,,,,,,,,,,,,,5.0,,,3.0,,,,,,4.0,,,,,,,,,,
200,This person is someone who likes to use humor to make others laugh and smile. They don't enjoy using humor to offend or belittle someone.,23.0,1,631f1b39c8bbf761fd66c863,52.0,4.0,,,,,,5.0,,,2.0,,,,,,,,,4.0,,,,,,,,,,,,,,
201,This person likes to make jokes and be the center of attention. They are brutally honest too. ,32.0,2,5deaac8dff7f711d9032fa94,51.0,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,4.0,,5.0,,,
202,Boaderline depression,55.0,2,645ad09a0ce98a9b2b3c9a38,34.0,8.0,,,,,,,,2.0,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,
203,This person is humorous and values the concept of friends and family.,22.0,1,6112c77c4cb58daede378463,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,3.0,
204,They like to joke and laugh but can lack boundaries,27.0,1,56c984eb10a82f0006ffd111,27.0,4.0,,,,,,4.0,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,
205,someone with a low self-esteem,27.0,1,63f7aadebcea99433fa62ca9,57.0,9.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
206,He is willing to be the butt of a joke to keep spirits up. He seems like a fun person to be around ,55.0,1,60ba9b1108f554e36941c2b4,49.0,2.0,,,,,,,,,,,,,,,4.0,,3.0,,,,,,,,,,2.0,,4.0,,,
207,Very fun and humorous,46.0,1,5d51ffd641a6aa0019ca73df,22.0,8.0,,,,,,,,3.0,,5.0,,,,,,,,,,2.0,,,,,,,,,,,,
208,I thought they were fairly self confident and they hated to be mean to others even if it was popular,23.0,1,616f0b4cde85d60d1d2cb938,26.0,3.0,,,,,,,,,,,,,,4.0,,,,,,,5.0,,,,1.0,,,,,,,
209,"they like to entertain, are mostly reasonable when making jokes at another persons expense, but prefer not to make jokes at their own expense.",28.0,2,5970ce4e5fa69e0001fc7381,54.0,6.0,,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0
210,low esteem,40.0,1,62c4dbae8fb1ff9cd93a3150,31.0,10.0,,,,,,,,,,,,,5.0,,,3.0,,,,,,2.0,,,,,,,,,,
211,This person likes to laugh and have a good time with their friends and family,27.0,2,60fed38a8adb46e44e0869a5,21.0,8.0,,,,,,,,2.0,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,
212,They seemed like a regular person for whom a sense of humor was a fairly important part of their personality.,53.0,1,6431a039ddca4f4c86f68b05,40.0,6.0,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0
213,"Funny, egotistical, sarcastic ",57.0,2,5dd034d1fce606114e3bb8e0,16.0,4.0,,,,,,3.0,,,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,
214,They enjoy humor and try to use it a lot but often not as a way to cope or to put themselves down,30.0,2,553eaedcfdf99b278df6d2f4,13.0,10.0,,,,,,,,,,,,,4.0,,,2.0,,,,,,3.0,,,,,,,,,,
215,"Witty, but not in a bullying way. Sees the humor in everyday life",54.0,2,644e9d153a08bb2d6bfc2d23@email.prolific.co,24.0,2.0,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,1.0,,1.0,,,
216,An unselfish person willing to put themselves down for the amusement of others.,58.0,1,5c21923289f03500017369fd,43.0,2.0,,,,,,,,,,,,,,,5.0,,1.0,,,,,,,,,,1.0,,2.0,,,
217,This person is very nice and considerate. They are happy and try to be happy when things are not going their way. They do not like telling jokes at the expense of others in a negative way. This person enjoys their time with friends and family.,55.0,2,5a9a6f5f35237b000112920f,52.0,1.0,,,1.0,,,,,,,,1.0,3.0,,,,,,,,,,,5.0,,,,,,,,,
218,"shy, timid, sensitive, uncreative",31.0,2,5f22bdb732432502a2615f3f,55.0,3.0,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,4.0,,,,,,,
219,They seem like an okay person,29.0,1,5c00c45ee9f4260001175a8c,11.0,7.0,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,
220,"I find this person to be depressed, but when able they will use humor sparingly to lighten the atmosphere or themselves.",68.0,2,5d61e2c9262779001a4e829a,5.0,3.0,,,,,,,,,,,,,,2.0,,,,,,,3.0,,,,5.0,,,,,,,
221,I think this person may be a people pleaser. They like to joke and have fun but sometimes let the joke be about themselves.,23.0,2,6110b51bf43f377f957c80df,57.0,8.0,,,,,,,,3.0,,4.0,,,,,,,,,,3.0,,,,,,,,,,,,
222,"They let people make jokes about them at their own expensive. They, however, also make jokes about other people. ",23.0,2,60fee6ac4251e521b4546f1d,18.0,3.0,,,,,,,,,,,,,,4.0,,,,,,,5.0,,,,2.0,,,,,,,
223,Uses humor to try to make situations better.,62.0,1,5d25336d3e31ad0016186262,46.0,1.0,,,4.0,,,,,,,,4.0,4.0,,,,,,,,,,,2.0,,,,,,,,,
224,"I think they are kind and they try to impress others, but not in a way that would hurt themselves or someone else.",30.0,2,59cf062758b71700019882d4,14.0,2.0,,,,,,,,,,,,,,,4.0,,3.0,,,,,,,,,,1.0,,2.0,,,
225,An entertaining person who thinks highly of themself and is not overly concerned with how others feel.,67.0,2,6109ab5dba8ad610b799450a,5.0,9.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
226,"Self deprecating, anhedonic, flat ",22.0,1,6400db0957589d03d69f2dfc,6.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,5.0,,,,2.0,,,,,,,
227,relatively jovial but not at the expense of others,24.0,3,63655f313f15b6fab95bbcd4,49.0,7.0,,,,,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,3.0,,
228,this person seems somewhat withdrawn and to themself,65.0,1,62f15a6bb44b71fa2124f45a,34.0,6.0,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0
229,This person has mild to moderate low self-esteem and therefore places a lot of importance on external validation despite self-deprecation.,29.0,2,6106fbbcd52909fe5cc2fc8e,53.0,10.0,,,,,,,,,,,,,4.0,,,2.0,,,,,,1.0,,,,,,,,,,
230,This person enoys making jokes but not at the expense of others or his/her own expense.,21.0,1,5f507fb3e29c991f68f5879a,41.0,9.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
231,"introverted, lower self esteem, comfortable only when around friends",70.0,1,601b75077aa0425330b81e36,31.0,7.0,,,,,5.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,
232,"They use sense of humor to make other people happy, and themselves as well. Their humor is not really self-deprecating, though. ",54.0,2,5b2eae5577b17f0001c037af,38.0,3.0,,,,,,,,,,,,,,4.0,,,,,,,5.0,,,,2.0,,,,,,,
233,"Intelligent, friendly, and reliable.",51.0,1,63f611b7cf7901a8baaf80dd,59.0,6.0,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
234,They are very loud and outgoing person,36.0,1,6317ac941faaf331c4573eab,28.0,2.0,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,2.0,,2.0,,,
235,This person thinks that they are funny and they like to make other people laugh. ,23.0,2,6285851a54a1511bfcab385c,35.0,10.0,,,,,,,,,,,,,5.0,,,3.0,,,,,,2.0,,,,,,,,,,
236,"Their traits seem inconsistent. They report joking and laughing with friends,but sometimes not. They have a sense of humor that comes out with other people. When they are alone, however, they can be depressive and lose their sense of humor. Their sense of humor does not involve putting themselves or others down.",36.0,2,5d82d28977546f00166ae702,33.0,3.0,,,,,,,,,,,,,,1.0,,,,,,,4.0,,,,3.0,,,,,,,
237,"This person seems very humorless to be honest, furthermore it seems like someone who takes themselves to seriously",23.0,1,63654b4f395f847a8a5ee6fd,33.0,4.0,,,,,,3.0,,,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,
238,I think they're confident and well rounded.,28.0,2,63d29a1e50cf0f82998d2564,58.0,4.0,,,,,,2.0,,,4.0,,,,,,,,,2.0,,,,,,,,,,,,,,
239,Very sensitive and a good sense of humor ,73.0,1,63cf56629f2d11b69446794c,33.0,2.0,,,,,,,,,,,,,,,5.0,,2.0,,,,,,,,,,1.0,,2.0,,,
240,"A real jokester! They use humor to make every situation better, and to rationalize their situation.",35.0,1,62d5788341a681924672a1ca,43.0,8.0,,,,,,,,4.0,,4.0,,,,,,,,,,4.0,,,,,,,,,,,,
241,They are a descent human being that cares about others' feelings.,35.0,1,6095e4f37b49956d05961a4b,59.0,8.0,,,,,,,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,
242,They have an ok sense of humor. Probably would not be friends with them,34.0,2,610978200236b59da80571e7,16.0,1.0,,,3.0,,,,,,,,3.0,2.0,,,,,,,,,,,2.0,,,,,,,,,
243,They like to be funny but they are careful not to make fun of others or be self depreciative ,39.0,1,5d46daa91274770001916403,36.0,8.0,,,,,,,,2.0,,4.0,,,,,,,,,,2.0,,,,,,,,,,,,
244,"I think this person has a good sense of humor  and keeps themselves appropriate most of the time. I don't think there  a bully but sometimes can tell jokes that can hurt other people. I don't think this person makes himself the butt of jokes very often but can if need be. Basically, I think this person can adapt to the situation and does have a sense of humor.",42.0,1,602e3638f2520292bac1d5d9,42.0,4.0,,,,,,4.0,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,
245,This person likes to joke with other people but doesn’t like to be the butt of the joke as they find that offensive,25.0,2,63d3f98237a95683bfa381e3,38.0,7.0,,,,,4.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,,
246,"This person seems jovial in nature and uses humor as a defense mechanism.  Self depreciation and a ""no holds bar approach"" to humor is this person to a T!",53.0,2,64123e577ccc2422448a155a,50.0,4.0,,,,,,5.0,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,
247,I think this person is very careful with his humor. ,33.0,1,5f6f738fef894f0dbf9839f8,37.0,6.0,,5.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0
248,"funny, self-deprecating, congenial",26.0,2,62bdfe451d380bec13a4a864,24.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,,,,,3.0,
249,They are a person that enjoys joking around with people. They don't enjoy joking about themselves. ,38.0,1,61205b687c3f4a9c1690126d,27.0,9.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
250,Wants to fill belonged.,47.0,1,5ddd2a4459b1b0c7509c7a47,54.0,1.0,,,2.0,,,,,,,,3.0,4.0,,,,,,,,,,,3.0,,,,,,,,,
251,"Enjoys humor and joking, but not to an extent that it would be offensive to themselves or others",20.0,1,5fc150bd290b5717801b5821,60.0,4.0,,,,,,3.0,,,3.0,,,,,,,,,4.0,,,,,,,,,,,,,,
252,"This person has a good sense of humor and the absurd. They like telling jokes, and making others laugh, but they don't really poke fun at themselves or like others making fun of them.",63.0,2,5ba5d8b960f3d50001697104,25.0,3.0,,,,,,,,,,,,,,2.0,,,,,,,5.0,,,,1.0,,,,,,,
253,On the autism spectrum ,44.0,1,6316972ef4d8ad8f45a16d7f,23.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,2.0,
254,"They like to joke around but with themselves. They are willing to put themselves down but not other people. Although, sometimes they deem it okay if they dislike the person.",31.0,1,5fbedb605c74b312137f371b,15.0,10.0,,,,,,,,,,,,,3.0,,,2.0,,,,,,1.0,,,,,,,,,,
255,Likes to find humor and be funny even when alone.,52.0,1,60bbf2e93959bd2a77ca1f1f,44.0,7.0,,,,,5.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,5.0,,
256,confused,38.0,1,5b9d15d5acc87200010db9d4,32.0,10.0,,,,,,,,,,,,,3.0,,,2.0,,,,,,3.0,,,,,,,,,,
257,They seem to have a sense of humor and like to laugh at others but want no one to laugh at them.,41.0,1,5dfe8e7bdc8535b21b18ea2f,8.0,7.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,
258,I imagine this person to be caring about others.,53.0,2,58d3dad59dbe3f0001258f66,10.0,9.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
259,Seems like a funny person ,29.0,1,576e0f04688a5c00018d9c08,24.0,7.0,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,2.0,,
260,A very fun person to be around.,51.0,1,6435d9620649d3801b71cc8b,48.0,3.0,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,1.0,,,,,,,
261,They dislike putting themselves down and enjoy putting others down.,32.0,1,629aa31883e52081b06a8a8d,14.0,1.0,,,4.0,,,,,,,,4.0,1.0,,,,,,,,,,,1.0,,,,,,,,,
262,They like to laugh at other people’s expense but not their own,27.0,2,6109ea914ed16dd53a280765,19.0,7.0,,,,,3.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,3.0,,
263,They have a dry sense of humor and may be socially awkward & often put themselves down to lighten the mood.,28.0,2,63f02c686a43074bf1a16dc8,7.0,1.0,,,4.0,,,,,,,,1.0,5.0,,,,,,,,,,,2.0,,,,,,,,,
264,Like to make others laugh but not by making fun of others or themselves ,55.0,2,623484788ce4384a8618ea4a,20.0,3.0,,,,,,,,,,,,,,4.0,,,,,,,5.0,,,,1.0,,,,,,,
265,This person likes to make other people happy,57.0,2,5bd7971b0aac450001f951aa,9.0,4.0,,,,,,4.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,
266,"He is a very jocular person who likes to make jokes about his friends, and when he is sad he uses humor to have fun.",55.0,1,60ac66a8e1bf5a1c51fa864c,17.0,1.0,,,4.0,,,,,,,,4.0,4.0,,,,,,,,,,,4.0,,,,,,,,,
267,This person has a sense of humor even if it may upset others,21.0,2,60fce0bedbae8b8996c93203,10.0,10.0,,,,,,,,,,,,,4.0,,,3.0,,,,,,3.0,,,,,,,,,,
