,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32
206,2.0,4.0,2.0,2.0,3.0,5.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0
208,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0
209,1.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0
210,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0
211,2.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,5.0,4.0,4.0,5.0,4.0,2.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,2.0,5.0
212,2.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0
213,2.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,1.0,5.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,5.0,4.0,4.0,3.0,4.0,1.0,4.0
217,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0
219,2.0,4.0,1.0,2.0,4.0,5.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0
223,1.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,1.0,3.0,2.0,2.0,5.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,4.0
225,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0
226,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0
228,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0
230,2.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0
231,3.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
232,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0
234,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0
235,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0
237,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0
238,4.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,5.0,1.0,3.0,1.0,3.0,2.0,2.0,5.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,2.0
240,2.0,4.0,1.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0
241,4.0,4.0,1.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,3.0
242,2.0,4.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0
244,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,4.0,3.0,2.0,4.0,2.0,4.0
245,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0
246,3.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0
247,3.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0
250,3.0,5.0,2.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0
253,2.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0
255,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0
256,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0
257,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0
258,2.0,3.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0
265,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0
266,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
268,3.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
270,2.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0
271,1.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0
275,3.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0
281,2.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0
282,4.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0
284,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0
287,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0
291,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
293,2.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0
294,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0
295,2.0,4.0,2.0,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,2.0,4.0
300,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0
301,1.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0
303,1.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,5.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0
305,3.0,4.0,2.0,2.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0,3.0,3.0
306,1.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,4.0
308,4.0,4.0,1.0,1.0,3.0,4.0,4.0,1.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,1.0,4.0,4.0,2.0,3.0,3.0,3.0,5.0,2.0
311,4.0,2.0,1.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0
312,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0
314,1.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,4.0
316,4.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,5.0,3.0
322,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
324,1.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0
325,2.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,5.0,3.0,2.0,2.0,4.0,3.0,4.0,5.0,3.0,3.0,5.0,2.0,4.0,3.0,3.0,3.0,5.0,2.0,5.0
327,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
328,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0
332,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0
333,2.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0
336,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0
338,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0
339,2.0,4.0,2.0,3.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,5.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0
340,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0
341,2.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,3.0,2.0,4.0,2.0,4.0
342,2.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0
343,2.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,3.0,3.0,4.0,2.0,4.0
345,3.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0
346,3.0,3.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
347,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0
348,2.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0
351,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
352,4.0,3.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0
355,3.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0
356,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0
357,1.0,4.0,1.0,2.0,4.0,5.0,4.0,3.0,1.0,4.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,4.0,2.0,3.0,5.0,3.0,2.0,2.0,1.0,5.0,3.0,2.0,2.0,4.0,1.0,4.0
359,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0
360,2.0,4.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0
361,4.0,4.0,2.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0
363,3.0,4.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0
364,2.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0
365,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0
366,1.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,5.0
367,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0
371,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0
372,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0
373,2.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0
374,2.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0
380,2.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0
382,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0
383,2.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,5.0,4.0,1.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,5.0,3.0,2.0,3.0,3.0,2.0,4.0
387,4.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,4.0,3.0
389,2.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0
390,2.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,2.0,5.0
392,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,4.0,3.0,5.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0
393,3.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0
394,1.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0
395,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0
398,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0
401,1.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,5.0,2.0,2.0,4.0,3.0,2.0,4.0,1.0,4.0
402,2.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
403,2.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0
